3-1_17-10-26_2,2,3,1,17,10,26,66,2.0,1.0,1
3-1_17-11-34_2,2,3,1,17,11,34,218,2.0,1.0,1
3-1_17-15-26_2,2,3,1,17,15,26,97,14.0,1.0,1
3-1_17-17-6_3,3,3,1,17,17,6,151,3.0,1.0,1
3-1_17-19-40_2,2,3,1,17,19,40,654,3.0,1.0,1
3-1_17-30-36_2,2,3,1,17,30,36,241,2.0,1.0,1
3-1_17-34-40_3,3,3,1,17,34,40,10,3.0,1.0,1
3-1_17-34-53_1,1,3,1,17,34,53,57,3.0,1.0,1
3-1_17-37-1_3,3,3,1,17,37,1,245,2.0,1.0,1
3-1_17-48-35_3,3,3,1,17,48,35,60,13.0,1.0,1
3-1_17-49-50_2,2,3,1,17,49,50,166,15.0,1.0,1
3-1_17-57-53_3,3,3,1,17,57,53,8,3.0,1.0,1
3-1_17-58-3_2,2,3,1,17,58,3,107,2.0,1.0,1
3-1_18-0-6_2,2,3,1,18,0,6,114,1.0,1.0,1
3-1_18-2-2_3,3,3,1,18,2,2,28,2.0,1.0,1
3-1_18-2-50_2,2,3,1,18,2,50,238,20.0,1.0,1
3-1_18-6-50_3,3,3,1,18,6,50,30,2.0,1.0,1
3-1_18-7-23_2,2,3,1,18,7,23,17,3.0,1.0,1
3-1_18-7-43_3,3,3,1,18,7,43,135,3.0,1.0,1
3-1_18-10-1_3,3,3,1,18,10,1,89,3.0,1.0,1
3-1_18-11-40_2,2,3,1,18,11,40,40,10.0,1.0,1
3-1_18-12-22_3,3,3,1,18,12,22,15,2.0,1.0,1
3-1_18-12-44_3,3,3,1,18,12,44,199,7.0,1.0,1
3-1_18-17-57_2,2,3,1,18,17,57,123,18.0,1.0,1
3-1_18-22-20_3,3,3,1,18,22,20,45,20.0,1.0,1
3-1_18-24-8_3,3,3,1,18,24,8,62,63.0,1.0,1
3-1_18-25-13_3,3,3,1,18,25,13,65,3.0,1.0,1
3-1_18-26-25_3,3,3,1,18,26,25,61,7.0,1.0,1
3-1_18-27-27_3,3,3,1,18,27,27,121,1.0,1.0,1
3-1_18-29-38_2,2,3,1,18,29,38,127,10.0,1.0,1
3-1_18-34-42_3,3,3,1,18,34,42,79,18.0,1.0,1
3-1_18-36-16_3,3,3,1,18,36,16,158,15.0,1.0,1
3-1_18-39-12_3,3,3,1,18,39,12,95,18.0,1.0,1
3-1_18-44-50_3,3,3,1,18,44,50,59,7.0,1.0,1
3-1_18-45-53_3,3,3,1,18,45,53,49,4.0,1.0,1
3-1_18-51-12_3,3,3,1,18,51,12,112,1.0,1.0,1
3-1_18-53-5_3,3,3,1,18,53,5,180,1.0,1.0,1
3-1_18-56-6_3,3,3,1,18,56,6,258,1.0,1.0,1
3-1_19-0-25_3,3,3,1,19,0,25,54,1.0,1.0,1
3-1_19-2-43_1,1,3,1,19,2,43,189,5.0,1.0,1
3-1_19-5-54_1,1,3,1,19,5,54,73,2.0,1.0,1
3-1_19-7-10_3,3,3,1,19,7,10,155,3.0,1.0,1
3-3_17-1-30_1,1,3,3,17,1,30,183,165105.0,1.0,1
3-3_17-4-34_3,3,3,3,17,4,34,112,1.0,1.0,1
3-3_17-6-30_3,3,3,3,17,6,30,48,4.0,1.0,1
3-3_17-7-21_2,2,3,3,17,7,21,123,3.0,1.0,1
3-3_17-9-33_3,3,3,3,17,9,33,121,9.0,1.0,1
3-3_17-11-40_3,3,3,3,17,11,40,98,6.0,1.0,1
3-3_17-13-38_3,3,3,3,17,13,38,169,20.0,1.0,1
3-3_17-16-34_3,3,3,3,17,16,34,24,7.0,1.0,1
3-3_17-17-7_1,1,3,3,17,17,7,393,9.0,1.0,1
3-3_17-27-2_1,1,3,3,17,27,2,50,6.0,1.0,1
3-3_17-27-59_3,3,3,3,17,27,59,259,7.0,1.0,1
3-3_17-36-35_3,3,3,3,17,36,35,42,15.0,1.0,1
3-3_17-37-20_3,3,3,3,17,37,20,76,3.0,1.0,1
3-3_17-38-42_3,3,3,3,17,38,42,136,6.0,1.0,1
3-3_17-41-2_3,3,3,3,17,41,2,55,4.0,1.0,1
3-3_17-50-2_3,3,3,3,17,50,2,224,5.0,1.0,1
3-3_17-53-53_2,2,3,3,17,53,53,262,7.0,1.0,1
3-3_17-58-20_3,3,3,3,17,58,20,250,5.0,1.0,1
3-3_18-14-7_3,3,3,3,18,14,7,153,57.0,1.0,1
3-3_18-16-58_1,1,3,3,18,16,58,341,18.0,1.0,1
3-3_18-22-41_3,3,3,3,18,22,41,207,2.0,1.0,1
3-3_18-26-12_3,3,3,3,18,26,12,289,4.0,1.0,1
3-3_18-32-26_3,3,3,3,18,32,26,54,2.0,1.0,1
3-3_18-33-48_3,3,3,3,18,33,48,108,28.0,1.0,1
3-3_18-36-30_3,3,3,3,18,36,30,42,54.0,1.0,1
3-3_18-37-47_3,3,3,3,18,37,47,598,35.0,1.0,1
3-3_18-59-49_1,1,3,3,18,59,49,107,9.0,1.0,1
3-10_17-12-30_3,3,3,10,17,12,30,407,41114.0,1.0,1
3-10_17-19-47_3,3,3,10,17,19,47,39,30.0,1.0,1
3-10_17-21-20_1,1,3,10,17,21,20,313,54.0,1.0,1
3-10_17-26-49_3,3,3,10,17,26,49,61,16.0,1.0,1
3-10_17-30-59_3,3,3,10,17,30,59,7,189.0,1.0,1
3-10_17-35-38_2,2,3,10,17,35,38,98,272.0,1.0,1
3-10_17-37-43_3,3,3,10,17,37,43,217,27.0,1.0,1
3-10_17-55-18_1,1,3,10,17,55,18,118,110.0,1.0,1
3-10_17-58-50_2,2,3,10,17,58,50,46,94.0,1.0,1
3-10_18-0-1_1,1,3,10,18,0,1,251,25.0,1.0,1
3-10_18-4-29_2,2,3,10,18,4,29,252,17.0,1.0,1
3-10_18-9-55_2,2,3,10,18,9,55,102,74.0,1.0,1
3-10_18-12-45_2,2,3,10,18,12,45,76,68.0,1.0,1
3-10_18-14-30_2,2,3,10,18,14,30,139,29.0,1.0,1
3-10_18-23-28_2,2,3,10,18,23,28,167,8.0,1.0,1
3-10_18-26-33_3,3,3,10,18,26,33,43,18.0,1.0,1
3-10_18-33-21_1,1,3,10,18,33,21,164,303.0,1.0,1
3-10_18-36-39_3,3,3,10,18,36,39,399,34.0,1.0,1
3-10_18-43-44_2,2,3,10,18,43,44,172,26.0,1.0,1
3-10_18-46-43_2,2,3,10,18,46,43,161,7.0,1.0,1
3-10_18-54-59_3,3,3,10,18,54,59,60,64.0,1.0,1
3-10_18-56-14_3,3,3,10,18,56,14,294,15.0,1.0,1
3-10_19-4-8_3,3,3,10,19,4,8,72,184.0,1.0,1
3-10_19-7-10_1,1,3,10,19,7,10,114,110.0,1.0,1
3-10_19-16-15_2,2,3,10,19,16,15,89,8.0,1.0,1
3-10_19-24-14_2,2,3,10,19,24,14,99,2.0,1.0,1
3-10_19-25-55_3,3,3,10,19,25,55,45,2.0,1.0,1
3-10_19-29-6_3,3,3,10,19,29,6,161,2.0,1.0,1
3-10_19-31-48_3,3,3,10,19,31,48,6,1.0,1.0,1
3-10_19-33-38_3,3,3,10,19,33,38,139,2.0,1.0,1
3-11_17-8-24_1,1,3,11,17,8,24,37,77547.0,1.0,1
3-11_17-47-43_3,3,3,11,17,47,43,82,2290.0,1.0,1
3-11_17-57-58_1,1,3,11,17,57,58,115,11.0,1.0,1
3-11_18-0-44_3,3,3,11,18,0,44,246,51.0,1.0,1
3-11_18-8-6_1,1,3,11,18,8,6,325,16.0,1.0,1
3-11_18-14-55_1,1,3,11,18,14,55,293,23.0,1.0,1
3-11_18-19-59_1,1,3,11,18,19,59,300,11.0,1.0,1
3-11_18-37-22_1,1,3,11,18,37,22,142,229.0,1.0,1
3-11_18-39-51_3,3,3,11,18,39,51,64,7.0,1.0,1
3-11_18-41-51_1,1,3,11,18,41,51,230,31.0,1.0,1
3-11_18-45-54_2,2,3,11,18,45,54,256,13.0,1.0,1
3-11_18-50-12_1,1,3,11,18,50,12,272,2.0,1.0,1
3-11_18-54-47_3,3,3,11,18,54,47,188,3.0,1.0,1
3-11_18-58-41_3,3,3,11,18,58,41,46,3.0,1.0,1
3-11_19-0-28_3,3,3,11,19,0,28,181,61.0,1.0,1
3-11_19-7-47_3,3,3,11,19,7,47,63,1.0,1.0,1
3-11_19-11-11_3,3,3,11,19,11,11,68,1.0,1.0,1
3-11_19-16-4_3,3,3,11,19,16,4,193,3.0,1.0,1
3-11_19-19-22_3,3,3,11,19,19,22,341,5.0,1.0,1
3-11_19-25-5_1,1,3,11,19,25,5,128,2.0,1.0,1
3-12_18-4-59_2,2,3,12,18,4,59,60,81221.0,1.0,1
3-12_18-7-38_3,3,3,12,18,7,38,94,9.0,1.0,1
3-12_18-13-59_3,3,3,12,18,13,59,152,10.0,1.0,1
3-12_18-16-59_2,2,3,12,18,16,59,61,28.0,1.0,1
3-12_18-34-48_2,2,3,12,18,34,48,67,1.0,1.0,1
3-12_18-35-57_2,2,3,12,18,35,57,39,2.0,1.0,1
3-12_18-43-37_1,1,3,12,18,43,37,381,77.0,1.0,1
3-12_18-49-59_3,3,3,12,18,49,59,34,1.0,1.0,1
3-12_18-50-50_1,1,3,12,18,50,50,209,17.0,1.0,1
3-12_18-54-20_2,2,3,12,18,54,20,150,1.0,1.0,1
3-12_18-59-37_3,3,3,12,18,59,37,33,17.0,1.0,1
3-12_19-1-6_2,2,3,12,19,1,6,60,56.0,1.0,1
3-12_19-2-18_3,3,3,12,19,2,18,124,12.0,1.0,1
3-12_19-4-44_3,3,3,12,19,4,44,229,22.0,1.0,1
3-12_19-9-3_2,2,3,12,19,9,3,163,30.0,1.0,1
3-12_19-12-0_2,2,3,12,19,12,0,63,14.0,1.0,1
3-12_19-13-4_3,3,3,12,19,13,4,173,1.0,1.0,1
3-12_19-19-59_2,2,3,12,19,19,59,29,1.0,1.0,1
3-12_19-20-42_3,3,3,12,19,20,42,56,14.0,1.0,1
3-12_19-21-40_3,3,3,12,19,21,40,90,2.0,1.0,1
3-12_19-23-15_3,3,3,12,19,23,15,8,5.0,1.0,1
3-12_19-24-36_1,1,3,12,19,24,36,82,73.0,1.0,1
3-12_19-27-17_1,1,3,12,19,27,17,237,79.0,1.0,1
3-12_19-31-16_1,1,3,12,19,31,16,178,2.0,1.0,1
3-13_17-0-1_3,3,3,13,17,0,1,123,40350.0,1.0,1
3-13_17-13-19_3,3,3,13,17,13,19,49,675.0,1.0,1
3-13_17-14-16_3,3,3,13,17,14,16,47,8.0,1.0,1
3-13_17-15-8_3,3,3,13,17,15,8,223,5.0,1.0,1
3-13_17-18-52_1,1,3,13,17,18,52,232,1.0,1.0,1
3-13_17-23-6_3,3,3,13,17,23,6,169,22.0,1.0,1
3-13_17-26-1_3,3,3,13,17,26,1,271,6.0,1.0,1
3-13_17-30-43_3,3,3,13,17,30,43,228,11.0,1.0,1
3-13_17-34-42_2,2,3,13,17,34,42,167,11.0,1.0,1
3-13_17-55-40_2,2,3,13,17,55,40,197,310.0,1.0,1
3-13_17-59-1_3,3,3,13,17,59,1,264,4.0,1.0,1
3-13_18-4-1_2,2,3,13,18,4,1,260,36.0,1.0,1
3-13_18-8-34_3,3,3,13,18,8,34,78,13.0,1.0,1
